,Substage 1,Substage 2,Substage 3,Substage 4,Substage 5,Substage 6,Substage 7,Substage 8,Substage 9,Substage 10,Substage 11,Substage 12
Substage 1,,0.001081665765278529,0.006760411032990805,0.0013520822065981612,0.3464034613304489,0.4753921038399135,0.0037858301784748512,0.06679286100594917,0.0005408328826392645,0.03677663601946998,0.060843699296917256,0.00027041644131963225
Substage 2,0.004172876304023845,,0.07511177347242921,0.08435171385991058,0.00894187779433681,0.0038748137108792846,0.07600596125186289,0.6739195230998509,0.06229508196721312,0.002682563338301043,0.007451564828614009,0.0011922503725782414
Substage 3,0.023588553750966745,0.11136890951276102,,0.0019334880123743233,0.02088167053364269,0.06921887084300077,0.22583139984532097,0.4133797370456303,0.0015467904098994587,0.09126063418406806,0.03905645784996133,0.0019334880123743233
Substage 4,0.007358636715724245,0.06158017041053447,0.0011618900077459333,,0.005809450038729667,0.000774593338497289,0.0,0.42370255615801705,0.19713400464756003,0.2924089852827266,0.000774593338497289,0.009295120061967466
Substage 5,0.6,0.00045248868778280545,0.014027149321266969,0.00045248868778280545,,0.2873303167420814,0.0013574660633484162,0.04479638009049774,0.0,0.00904977375565611,0.04253393665158371,0.0
Substage 6,0.46462661426165075,0.0025266704098820887,0.1257720381807973,0.0005614823133071309,0.15160022459292533,,0.07186973610331275,0.02133632790567097,0.0016844469399213925,0.023582257158899493,0.13644020213363278,0.0
Substage 7,0.003963759909399773,0.10758776896942242,0.3114382785956965,0.0005662514156285391,0.007927519818799546,0.14439411098527746,,0.10532276330690826,0.07134767836919592,0.01642129105322763,0.23103057757644394,0.0
Substage 8,0.041789491936882264,0.4652332235130917,0.17478758453268597,0.2460551413213109,0.022021848448066587,0.008496618692561124,0.02566325645916421,,0.011271024796254551,0.0012138026703658747,0.0017340038148083927,0.0017340038148083927
Substage 9,0.0053590568060021436,0.004287245444801715,0.0,0.1264737406216506,0.011789924973204717,0.0053590568060021436,0.09217577706323687,0.729903536977492,,0.012861736334405145,0.006430868167202572,0.0053590568060021436
Substage 10,0.10160055671537926,0.0055671537926235215,0.1663187195546277,0.4940848990953375,0.020180932498260265,0.04105775922059847,0.023660403618649965,0.009742519137091163,0.003479471120389701,,0.021572720946416143,0.1127348643006263
Substage 11,0.15778097982708933,0.001440922190201729,0.015129682997118156,0.001440922190201729,0.07853025936599424,0.43515850144092216,0.27737752161383283,0.018731988472622477,0.0,0.01440922190201729,,0.0
Substage 12,0.023696682464454975,0.03317535545023697,0.04265402843601896,0.17061611374407584,0.0,0.009478672985781991,0.004739336492890996,0.07109004739336493,0.03317535545023697,0.6113744075829384,0.0,
